extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,count_hyperpolyglot,count_pygments,count_rosettacode,sample_lang
.rsh,1,1,1,0,0,1,1,0,renderscript
.rss,1,1,1,0,0,1,1,0,xml
.rst,1,1,1,0,0,1,1,0,restructuredtext
.rst.txt,1,1,1,0,0,1,1,0,restructuredtext
.rsx,1,1,1,0,0,1,1,1,r
.rtf,1,0,1,0,0,1,0,0,Rich Text Format
.ru,1,1,1,0,0,1,1,1,ruby
.ruby,1,1,1,0,0,1,1,1,ruby
.rviz,1,0,1,0,0,1,1,0,YAML
.sage,1,1,1,0,0,1,1,1,sage
.sagews,1,1,1,0,0,1,1,1,sage
.sail,1,0,1,0,0,0,0,0,Sail
.sarif,1,0,1,0,0,1,1,0,JSON
.sas,1,1,1,0,1,1,1,1,sas
.sass,1,1,1,0,0,1,1,0,sass
.sats,1,1,1,0,0,1,0,1,ats
.sbatch,1,0,1,0,0,1,1,0,Shell
.sbt,1,1,1,0,0,1,1,1,scala
.scad,1,1,1,0,0,1,1,1,openscad
.scala,1,1,1,0,0,1,1,1,scala
.scaml,1,1,1,0,0,1,1,0,scaml
.sce,1,1,1,0,0,1,1,1,scilab
.scenic,1,1,1,0,0,0,0,0,scenic
.schdoc,1,0,1,0,0,1,0,0,Altium Designer
.sci,1,1,1,0,0,1,1,1,scilab
.sco,1,0,1,0,0,1,1,0,Csound Score
.scpt,1,1,1,1,0,1,1,1,applescript
.scrbl,1,1,1,0,0,1,1,1,racket
.scss,1,1,1,0,0,1,1,0,scss
.scxml,1,1,1,0,0,1,1,0,xml
.sdc,1,1,1,0,0,1,1,1,tcl
.sed,1,1,1,0,1,1,1,1,sed
.self,1,1,1,0,1,1,0,1,self
.service,1,1,1,0,0,1,1,0,desktop
.sexp,1,1,1,0,0,1,1,1,common-lisp
.sfd,1,1,1,0,0,1,0,0,spline-font-database
.sfproj,1,1,1,0,0,1,1,0,xml
.sfv,1,0,1,0,0,0,0,0,Simple File Verification
.sh,1,0,1,0,0,1,1,0,Shell
.sh-session,1,0,1,0,0,1,1,0,ShellSession
.sh.in,1,0,1,0,0,1,1,0,Shell
.sha1,1,0,1,0,0,0,0,0,Checksums
.sha2,1,0,1,0,0,0,0,0,Checksums
.sha224,1,0,1,0,0,0,0,0,Checksums
.sha256,1,0,1,0,0,0,0,0,Checksums
.sha256sum,1,0,1,0,0,0,0,0,Checksums
.sha3,1,0,1,0,0,0,0,0,Checksums
.sha384,1,0,1,0,0,0,0,0,Checksums
.sha512,1,0,1,0,0,0,0,0,Checksums
.shen,1,1,1,0,0,1,1,1,shen
.shproj,1,1,1,0,0,1,1,0,xml
.sieve,1,1,1,0,0,0,1,0,sieve
.sig,1,1,1,0,0,1,1,1,standard-ml
.sj,1,1,1,0,0,1,1,0,objective-j
.sjs,1,1,1,1,0,1,1,1,javascript
.sl,1,1,1,0,0,1,1,0,slash
.slang,1,1,1,0,1,0,0,0,slang
.sld,1,1,1,0,0,1,1,1,scheme
.slim,1,1,1,0,1,1,1,0,slim
.slint,1,0,1,0,0,0,0,0,Slint
.sln,1,0,1,0,0,0,0,0,Microsoft Visual Studio Solution
.slnx,1,1,1,0,0,1,1,0,xml
.slurm,1,0,1,0,0,1,1,0,Shell
.sma,1,1,1,0,0,1,1,0,pawn
.smali,1,1,1,0,0,1,1,0,smali
.smithy,1,1,1,0,0,0,1,0,smithy
.smk,1,1,1,0,0,0,0,0,snakemake
.sml,1,1,1,0,0,1,1,1,standard-ml
.smt,1,1,1,0,0,1,0,0,smt
.smt2,1,1,1,0,0,1,0,0,smt
.snakefile,1,1,1,0,0,0,0,0,snakemake
.snap,1,0,1,0,0,0,0,0,Jest Snapshot
.snip,1,0,1,0,0,1,0,0,Vim Snippet
.snippet,1,0,1,0,0,1,0,0,Vim Snippet
.snippets,1,0,1,0,0,1,0,0,Vim Snippet
.soy,1,1,1,0,0,1,0,0,closure-templates
.sp,1,1,1,0,0,1,1,0,sourcepawn
.sparql,1,1,1,0,0,1,1,0,sparql
.spc,1,0,1,0,0,1,1,0,PLSQL
.spin,1,0,1,0,0,1,0,0,Propeller Spin
.sps,1,1,1,0,0,1,1,1,scheme
.sqf,1,0,1,0,0,1,0,0,SQF
.sqlrpgle,1,0,1,0,0,0,0,0,RPGLE
.sra,1,1,1,0,0,1,0,1,powerbuilder
.srdf,1,1,1,0,0,1,1,0,xml
.sru,1,1,1,0,0,1,0,1,powerbuilder
.srv,1,0,1,0,0,0,0,0,ROS Interface
.srw,1,1,1,0,0,1,0,1,powerbuilder
.ss,1,1,1,0,0,1,1,1,scheme
.ssjs,1,1,1,1,0,1,1,1,javascript
.sss,1,1,1,0,0,1,0,0,sugarss
.stan,1,1,1,0,0,1,1,0,stan
.sthlp,1,1,1,0,0,1,1,1,stata
.stl,1,1,1,0,0,0,0,0,stl
.ston,1,1,1,0,0,1,0,0,ston
.story,1,1,1,0,0,1,1,0,gherkin
.storyboard,1,1,1,0,0,1,1,0,xml
.sttheme,1,0,1,0,0,1,0,0,XML Property List
.sty,1,1,1,0,0,1,1,1,tex
.styl,1,1,1,0,0,1,0,0,stylus
.sublime-build,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-color-scheme,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-commands,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-completions,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-keymap,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-macro,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-menu,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-mousemap,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-project,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-settings,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-snippet,1,1,1,0,0,1,1,0,xml
.sublime-syntax,1,0,1,0,0,1,1,0,YAML
.sublime-theme,1,0,1,0,0,1,0,0,JSON with Comments
.sublime-workspace,1,0,1,0,0,1,0,0,JSON with Comments
.sublime_metrics,1,0,1,0,0,1,0,0,JSON with Comments
.sublime_session,1,0,1,0,0,1,0,0,JSON with Comments
.surql,1,0,1,0,0,0,0,0,SurrealQL
.sv,1,1,1,0,0,1,1,1,systemverilog
.svelte,1,1,1,0,0,1,0,0,svelte
.svg,1,1,1,0,0,1,0,0,svg
.svh,1,1,1,0,0,1,1,1,systemverilog
.swg,1,0,1,0,0,1,1,0,SWIG
.swift,1,1,1,0,0,1,1,1,swift
.swig,1,0,1,0,0,1,1,0,SWIG
.syntax,1,0,1,0,0,1,1,0,YAML
.tab,1,1,1,0,0,1,1,1,sql
.tac,1,0,1,0,1,1,1,1,Python
.tag,1,1,1,0,0,1,1,0,java-server-pages
.talon,1,0,1,0,0,0,0,0,Talon
.targets,1,1,1,0,0,1,1,0,xml
.tcc,1,0,1,0,1,1,1,1,C++
.tcl,1,1,1,0,0,1,1,1,tcl
.tcl.in,1,1,1,0,0,1,1,1,tcl
.tcsh,1,1,1,0,0,1,1,0,tcsh
.te,1,0,1,0,0,0,0,0,SELinux Policy
.tea,1,1,1,0,1,1,1,0,tea
.templ,1,0,1,0,0,0,0,0,templ
.tesc,1,1,1,0,0,1,1,1,glsl
.tese,1,1,1,0,0,1,1,1,glsl
.tex,1,1,1,0,0,1,1,1,tex
.texi,1,0,1,0,0,1,0,0,Texinfo
.texinfo,1,0,1,0,0,1,0,0,Texinfo
.textgrid,1,0,1,0,0,0,0,0,TextGrid
.textile,1,1,1,0,1,1,0,0,textile
.textproto,1,0,1,0,0,0,0,0,Protocol Buffer Text Format
.tf,1,1,1,0,0,1,1,1,hcl
.tfstate,1,0,1,0,0,1,1,0,JSON
.tfstate.backup,1,0,1,0,0,1,1,0,JSON
.tftpl,1,0,1,0,0,0,0,0,Terraform Template
.tfvars,1,1,1,0,0,1,1,1,hcl
.thor,1,1,1,0,0,1,1,1,ruby
.thrift,1,1,1,0,0,1,1,0,thrift
.thy,1,1,1,0,0,1,1,1,isabelle
.tla,1,1,1,0,0,1,0,0,tla
.tlv,1,0,1,0,0,0,0,0,TL-Verilog
.tm,1,1,1,0,0,1,1,1,tcl
.tmac,1,1,1,0,0,1,1,0,roff
.tmcommand,1,0,1,0,0,1,0,0,XML Property List
.tmdl,1,0,1,0,0,0,0,0,TMDL
.tml,1,1,1,0,0,1,1,0,xml
.tmlanguage,1,0,1,0,0,1,0,0,XML Property List
.tmpl,1,0,1,0,0,0,1,0,Go Template
.tmpreferences,1,0,1,0,0,1,0,0,XML Property List
.tmsnippet,1,0,1,0,0,1,0,0,XML Property List
.tmtheme,1,0,1,0,0,1,0,0,XML Property List
.tmux,1,0,1,0,0,1,1,0,Shell
.tofu,1,1,1,0,0,1,1,1,hcl
.toit,1,1,1,0,0,0,0,0,toit
.toml,1,1,1,0,0,1,1,0,toml
.toml.example,1,1,1,0,0,1,1,0,toml
.tool,1,0,1,0,0,1,1,0,Shell
.topojson,1,0,1,0,0,1,1,0,JSON
.tpb,1,0,1,0,0,1,1,0,PLSQL
.tpp,1,0,1,0,1,1,1,1,C++
.tps,1,0,1,0,0,1,1,0,PLSQL
.tres,1,0,1,0,0,0,0,0,Godot Resource
.trg,1,0,1,0,0,1,1,0,PLSQL
.tscn,1,0,1,0,0,0,0,0,Godot Resource
.tsconfig.json,1,0,1,0,0,1,0,0,JSON with Comments
.tsv,1,0,1,0,0,0,0,0,TSV
.ttl,1,1,1,0,0,1,1,0,turtle
.tu,1,1,1,0,0,1,0,1,turing
.twig,1,1,1,0,0,1,1,0,twig
.txi,1,0,1,0,0,1,0,0,Texinfo
.txl,1,1,1,0,0,1,0,0,txl
.txx,1,0,1,0,1,1,1,1,C++
.uc,1,1,1,0,0,1,0,0,unrealscript
.udf,1,1,1,0,0,1,1,1,sql
.udo,1,1,1,0,0,1,1,0,csound
.ui,1,1,1,0,0,1,1,0,xml
.unity,1,1,1,0,0,1,1,0,unity3d-asset
.uno,1,1,1,0,0,1,0,0,uno
.upc,1,1,1,0,0,1,0,0,unified-parallel-c
.uplc,1,0,1,0,0,0,0,0,Untyped Plutus Core
.ur,1,1,1,0,0,1,0,0,urweb
.urdf,1,1,1,0,0,1,1,0,xml
.url,1,1,1,0,0,1,1,0,ini
.urs,1,1,1,0,0,1,0,0,urweb
.ux,1,1,1,0,0,1,1,0,xml
.vala,1,1,1,0,0,1,1,1,vala
.vapi,1,1,1,0,0,1,1,1,vala
.vark,1,1,1,0,0,1,1,1,gosu
.vb,1,0,1,0,0,1,1,1,Visual Basic .NET
.vbhtml,1,0,1,0,0,1,1,1,Visual Basic .NET
.vbproj,1,1,1,0,0,1,1,0,xml
.vbs,1,1,1,0,0,1,1,1,vbscript
.vcl,1,1,1,0,0,1,1,0,vcl
.vcxproj,1,1,1,0,0,1,1,0,xml
.vdf,1,0,1,0,0,0,0,0,Valve Data Format
.veo,1,1,1,0,0,1,1,1,verilog
.vert,1,1,1,0,0,1,1,1,glsl
.vh,1,1,1,0,0,1,1,1,systemverilog
.vhd,1,1,1,0,0,1,1,1,vhdl
.vhdl,1,1,1,0,0,1,1,1,vhdl
.vhf,1,1,1,0,0,1,1,1,vhdl
.vhi,1,1,1,0,0,1,1,1,vhdl
.vho,1,1,1,0,0,1,1,1,vhdl
.vhs,1,1,1,0,0,1,1,1,vhdl
.vht,1,1,1,0,0,1,1,1,vhdl
.vhw,1,1,1,0,0,1,1,1,vhdl
.vim,1,1,1,0,0,1,1,1,vim-script
.vimrc,1,1,1,0,0,1,1,1,vim-script
.viw,1,1,1,0,0,1,1,1,sql
.vmb,1,1,1,0,0,1,1,1,vim-script
.volt,1,1,1,0,0,1,0,0,volt
.vrx,1,1,1,0,0,1,1,1,glsl
.vs,1,1,1,0,0,1,1,1,glsl
.vsh,1,1,1,0,0,1,1,1,glsl
.vshader,1,1,1,0,0,1,1,1,glsl
.vsixmanifest,1,1,1,0,0,1,1,0,xml
.vssettings,1,1,1,0,0,1,1,0,xml
.vstemplate,1,1,1,0,0,1,1,0,xml
.vtl,1,0,1,0,0,0,1,0,Velocity Template Language
.vto,1,0,1,0,0,0,0,0,Vento
.vtt,1,0,1,0,0,1,0,0,WebVTT
.vue,1,0,1,0,0,1,1,0,Vue
.vw,1,0,1,0,0,1,1,0,PLSQL
.vxml,1,1,1,0,0,1,1,0,xml
.vy,1,0,1,0,0,0,1,0,Vyper
.wast,1,0,1,0,0,1,1,1,WebAssembly
.wat,1,0,1,0,0,1,1,1,WebAssembly
.watchr,1,1,1,0,0,1,1,1,ruby
.wdl,1,1,1,0,0,1,0,0,wdl
.webapp,1,0,1,0,0,1,1,0,JSON
.webidl,1,0,1,0,0,1,1,0,WebIDL
.webmanifest,1,0,1,0,0,1,1,0,JSON
.weechatlog,1,1,1,0,0,1,1,0,irc-log
.wgsl,1,1,1,0,0,0,1,0,wgsl
.whiley,1,1,1,0,0,0,1,0,whiley
.wiki,1,0,1,0,0,1,1,0,Wikitext
.wikitext,1,0,1,0,0,1,1,0,Wikitext
.wisp,1,1,1,0,0,1,0,1,wisp
.wit,1,0,1,0,0,0,0,0,WebAssembly Interface Type
.wixproj,1,1,1,0,0,1,1,0,xml
.wl,1,0,1,0,0,1,1,1,Wolfram Language
.wlk,1,0,1,0,0,1,0,1,Wollok
.wls,1,0,1,0,0,1,1,1,Wolfram Language
.wlt,1,0,1,0,0,1,1,1,Wolfram Language
.wlua,1,1,1,1,0,1,1,1,lua
.workbook,1,1,1,0,0,1,1,0,markdown
.wren,1,1,1,0,0,0,1,1,wren
.ws,1,0,1,0,0,0,0,0,Witcher Script
.wsdl,1,1,1,0,0,1,1,0,xml
.wsf,1,1,1,0,0,1,1,0,xml
.wsgi,1,0,1,0,1,1,1,1,Python
.wxi,1,1,1,0,0,1,1,0,xml
.wxl,1,1,1,0,0,1,1,0,xml
.wxs,1,1,1,0,0,1,1,0,xml
.x10,1,1,1,0,0,1,1,1,x10
.x3d,1,1,1,0,0,1,1,0,xml
.x68,1,0,1,0,0,1,1,0,Motorola 68K Assembly
.xacro,1,1,1,0,0,1,1,0,xml
.xaml,1,1,1,0,0,1,1,0,xml
.xbm,1,1,1,0,0,1,0,0,x-bitmap
.xc,1,1,1,0,0,1,0,0,xc
.xdc,1,1,1,0,0,1,1,1,tcl
.xht,1,1,1,0,0,1,1,0,html
.xhtml,1,1,1,0,0,1,1,0,html
.xi,1,1,1,0,1,1,1,0,logos
.xib,1,1,1,0,0,1,1,0,xml
.xlf,1,1,1,0,0,1,1,0,xml
.xliff,1,1,1,0,0,1,1,0,xml
.xm,1,1,1,0,1,1,1,0,logos
.xmi,1,1,1,0,0,1,1,0,xml
.xml,1,1,1,0,0,1,1,0,xml
.xml.dist,1,1,1,0,0,1,1,0,xml
.xmp,1,1,1,0,0,1,1,0,xml
.xojo_code,1,1,1,0,0,1,0,1,xojo
.xojo_menu,1,1,1,0,0,1,0,1,xojo
.xojo_report,1,1,1,0,0,1,0,1,xojo
.xojo_script,1,1,1,0,0,1,0,1,xojo
.xojo_toolbar,1,1,1,0,0,1,0,1,xojo
.xojo_window,1,1,1,0,0,1,0,1,xojo
.xpl,1,1,1,0,0,1,1,1,xproc
.xpm,1,1,1,0,0,1,1,0,x-pixmap
.xproc,1,1,1,0,0,1,1,1,xproc
.xproj,1,1,1,0,0,1,1,0,xml
.xpy,1,0,1,0,1,1,1,1,Python
.xq,1,1,1,0,0,1,1,1,xquery
.xql,1,1,1,0,0,1,1,1,xquery
.xqm,1,1,1,0,0,1,1,1,xquery
.xquery,1,1,1,0,0,1,1,1,xquery
.xqy,1,1,1,0,0,1,1,1,xquery
.xrl,1,1,1,0,0,1,1,1,erlang
.xs,1,1,1,0,1,1,0,1,xs
.xsd,1,1,1,0,0,1,1,0,xml
.xsh,1,0,1,0,0,0,0,0,Xonsh
.xsjs,1,1,1,1,0,1,1,1,javascript
.xsjslib,1,1,1,1,0,1,1,1,javascript
.xsl,1,1,1,1,0,1,1,1,xslt
.xslt,1,1,1,1,0,1,1,1,xslt
.xsp-config,1,1,1,0,0,1,0,0,xpages
.xsp.metadata,1,1,1,0,0,1,0,0,xpages
.xspec,1,1,1,0,0,1,1,0,xml
.xtend,1,1,1,0,0,1,1,0,xtend
.xul,1,1,1,0,0,1,1,0,xml
.xzap,1,0,1,0,0,1,0,0,ZAP
.y,1,1,1,0,0,1,0,0,yacc
.yacc,1,1,1,0,0,1,0,0,yacc
.yaml-tmlanguage,1,0,1,0,0,1,1,0,YAML
.yaml.sed,1,0,1,0,0,1,1,0,YAML
.yang,1,1,1,0,0,1,1,0,yang
.yap,1,1,1,0,0,1,1,1,prolog
.yar,1,1,1,0,0,1,1,0,yara
.yara,1,1,1,0,0,1,1,0,yara
.yasnippet,1,1,1,0,0,1,0,0,yasnippet
.yml.mysql,1,0,1,0,0,1,1,0,YAML
.yrl,1,1,1,0,0,1,1,1,erlang
.yul,1,1,1,0,0,0,0,0,yul
.yyp,1,0,1,0,0,1,1,0,JSON
.z3,1,1,1,0,0,1,0,0,smt
.zap,1,0,1,0,0,1,0,0,ZAP
.zcml,1,1,1,0,0,1,1,0,xml
.zeek,1,1,1,0,0,1,1,0,zeek
.zep,1,1,1,0,0,1,1,0,zephir
.zig,1,1,1,0,0,1,1,1,zig
.zig.zon,1,1,1,0,0,1,1,1,zig
.zil,1,1,1,0,0,1,0,0,zil
.zimpl,1,1,1,0,0,1,0,0,zimpl
.zmodel,1,0,1,0,0,0,0,0,Zmodel
.zmpl,1,1,1,0,0,1,0,0,zimpl
.zone,1,0,1,0,0,1,1,0,DNS Zone
.zpl,1,1,1,0,0,1,0,0,zimpl
.zs,1,1,1,0,0,1,0,0,zenscript
.zsh,1,0,1,0,0,1,1,0,Shell
.zsh-theme,1,0,1,0,0,1,1,0,Shell
