ext,n_claimants,n_primary,n_secondary,n_unknown,primary_claimants,secondary_claimants,unknown_claimants
.pr,2,0,2,0,,promela; x-pixmap,
.praat,2,2,0,0,papyrus; Praat,,
.prawn,1,0,1,0,,ruby,
.prc,2,0,2,0,,PLSQL; sql,
.prefab,1,0,1,0,,unity3d-asset,
.prefs,1,0,1,0,,ini,
.prg,4,3,0,0,clipper; foxpro; xbase,,
.pri,1,0,1,0,,qmake,
.prisma,1,1,0,0,Prisma,,
.prjpcb,1,0,1,0,,Altium Designer,
.prm,2,0,2,0,,promela; x-pixmap,
.pro,8,6,2,0,cool; idl; opencl; Proguard; prolog; qmake,ECLiPSe; ini,
.proc,2,0,2,0,,papyrus; Praat,
.procfile,1,1,0,0,procfile,,
.proj,1,0,1,0,,xml,
.prolog,2,0,2,0,,ECLiPSe; prolog,
.prom,2,0,2,0,,promela; x-pixmap,
.promela,2,0,2,0,,promela; x-pixmap,
.promql,1,1,0,0,promql,,
.properties,2,1,1,0,java-properties,ini,
.props,1,0,1,0,,xml,
.proto,2,2,0,0,protobuf; Protocol Buffer,,
.prql,1,1,0,0,prql,,
.prw,1,0,1,0,,xbase,
.prx,1,0,1,0,,elf,
.ps,1,1,0,0,postscript,,
.ps1,1,1,0,0,powershell,,
.ps1xml,2,0,1,0,,xml,
.psc,2,1,1,0,papyrus,Praat,
.psc1,2,0,1,0,,xml,
.psd1,1,0,1,0,,powershell,
.psgi,1,0,1,0,,perl,
.psi,1,1,0,0,parasail,,
.psl,1,0,1,0,,parasail,
.psm1,1,0,1,0,,powershell,
.psrc,1,0,0,0,,,
.pssc,1,0,0,0,,,
.pt,1,0,1,0,,xml,
.ptl,1,1,0,0,PTL,,
.ptls,1,1,0,0,pointless,,
.ptx,1,1,0,0,ptx,,
.pub,1,0,1,0,,Public Key,
.pubxml,1,0,1,0,,xml,
.pug,2,2,0,0,jade; pug,,
.puml,1,1,0,0,plantuml,,
.purs,1,1,0,0,purescript,,
.pwn,1,1,0,0,pawn,,
.pxd,2,0,2,0,,cython; pyrex,
.pxi,2,0,2,0,,cython; pyrex,
.py,6,6,0,0,bazel; py; Python; Python (programming language); sage; starlark,,
.py3,1,0,1,0,,Python,
.py3tb,1,0,1,0,,Python traceback,
.pyc,1,0,0,0,,,
.pyd,1,0,0,0,,,
.pyde,1,0,1,0,,Python,
.pyi,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.pyo,1,0,0,0,,,
.pyp,1,0,1,0,,Python,
.pyt,1,0,1,0,,Python,
.pytb,1,1,0,0,Python traceback,,
.pyw,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.pyx,2,2,0,0,cython; pyrex,,
.pyz,1,0,0,0,,,
.q,3,2,0,0,hiveql; q,,
.qasm,1,1,0,0,OpenQASM,,
.qbs,1,0,1,0,,QML,
.qc,1,1,0,0,quakec,,
.qfx,1,1,0,0,qfx,,
.qhelp,1,0,1,0,,xml,
.qif,1,1,0,0,qif,,
.ql,1,1,0,0,codeql,,
.qll,1,0,1,0,,codeql,
.qm,1,0,0,0,,,
.qmd,1,1,0,0,rmarkdown,,
.qml,1,1,0,0,QML,,
.qs,2,2,0,0,q-sharp; Qt Script,,
.qs1,1,1,0,0,URQ,,
.qs2,1,1,0,0,URQ,,
.qt,1,1,0,0,Mov,,
.qtest,1,0,0,0,,,
.r,5,3,2,0,r; rebol; Rez,R (programming language); s,
.r2,1,0,1,0,,rebol,
.r3,1,0,1,0,,rebol,
.r3d,1,1,0,0,redcode,,
.ra,1,0,1,0,,ra,
.rabl,1,0,1,0,,ruby,
.railml,1,1,0,0,Railway Markup Language,,
.railmlx,1,1,0,0,Railway Markup Language,,
.rake,2,0,2,0,,mirah; ruby,
.rakefile,2,0,2,0,,mirah; ruby,
.raku,2,1,1,0,raku,Raku (programming language),
.rakudoc,2,1,1,0,raku,Raku (programming language),
.rakumod,2,1,1,0,raku,Raku (programming language),
.rakutest,2,1,1,0,raku,Raku (programming language),
.ram,1,1,0,0,ra,,
.raml,1,1,0,0,RAML,,
.rap,1,0,0,0,,,
.rascript,1,1,0,0,RAScript,,
.raw,1,1,0,0,Raw token data,,
.razor,1,0,1,0,,HTML+Razor,
.rb,2,2,0,0,mirah; ruby,,
.rbbas,1,1,0,0,realbasic,,
.rbfrm,1,0,1,0,,realbasic,
.rbi,1,0,1,0,,ruby,
.rbmnu,1,0,1,0,,realbasic,
.rbres,1,0,1,0,,realbasic,
.rbs,1,1,0,0,rbs,,
.rbtbar,1,0,1,0,,realbasic,
.rbuild,1,0,1,0,,ruby,
.rbuistate,1,0,1,0,,realbasic,
.rbw,2,1,1,0,ruby,mirah,
.rbx,2,0,2,0,,mirah; ruby,
.rbxs,1,0,1,0,,lua,
.rchit,1,0,1,0,,glsl,
.rd,1,0,1,0,,r,
.rda,1,0,0,0,,,
.rdata,1,0,0,0,,,
.rdf,3,1,2,0,foaf,Web Ontology Language; xml,
.rdoc,1,1,0,0,rdoc,,
.rds,1,0,0,0,,,
.re,2,1,1,0,reason,C++,
.react,1,0,1,0,,jsx,
.reb,1,1,0,0,rebol,,
.rebol,1,0,1,0,,rebol,
.red,2,2,0,0,Red; Red (programming language),,
.reds,2,0,2,0,,Red; Red (programming language),
.reek,1,0,1,0,,YAML,
.reg,1,1,0,0,windows-registry-entries,,
.regex,1,0,1,0,,Regular Expression,
.regexp,1,1,0,0,Regular Expression,,
.rego,1,1,0,0,Open Policy Agent,,
.rei,1,1,0,0,reason,,
.religo,1,1,0,0,ReasonLIGO,,
.renviron,3,0,3,0,,r; R (programming language); s,
.res,2,1,1,0,rescript,xml,
.resi,1,1,0,0,rescript,,
.resource,1,0,1,0,,robotframework,
.rest,2,0,2,0,,rest; restructuredtext,
.resx,1,0,1,0,,xml,
.rex,2,1,1,0,rexx,arexx,
.rexx,2,2,0,0,arexx; rexx,,
.rg,1,1,0,0,rouge,,
.rgb,1,0,1,0,,Iris,
.rgba,1,0,1,0,,Iris,
.rhistory,3,0,3,0,,r; R (programming language); s,
.rhtm,1,0,1,0,,rhtml,
.rhtml,2,2,0,0,HTML+ERB; rhtml,,
.riff,1,1,0,0,riff,,
.ring,1,1,0,0,ring,,
.riot,1,1,0,0,Riot,,
.rita,1,1,0,0,rita,,
.rkt,1,1,0,0,racket,,
.rktd,1,1,0,0,racket,,
.rktl,1,1,0,0,racket,,
.rl,1,1,0,0,ragel,,
.rlib,1,1,0,0,rust,,
.rmd,1,0,1,0,,rmarkdown,
.rmiss,1,0,1,0,,glsl,
.rml,1,0,0,0,,,
.rnh,1,1,0,0,runoff,,
.rno,2,0,2,0,,roff; runoff,
.rnw,1,1,0,0,sweave,,
.robot,1,1,0,0,robotframework,,
.roc,1,1,0,0,roc,,
.rockspec,1,0,1,0,,lua,
.roff,1,1,0,0,roff,,
.rom,1,1,0,0,Uxntal,,
.ron,1,1,0,0,ron,,
.ronn,1,0,1,0,,markdown,
.rpgle,1,1,0,0,RPGLE,,
.rprofile,3,0,3,0,,r; R (programming language); s,
.rpy,2,1,1,0,Ren'Py,Python,
.rq,1,1,0,0,sparql,,
.rqg,1,1,0,0,SPARQL-Generate,,
.rql,1,1,0,0,rql,,
.rs,4,3,1,0,renderscript; Rs; rust,xml,
.rsc,2,2,0,0,rascal; RouterOS Script,,
.rsh,1,0,1,0,,renderscript,
.rsl,1,1,0,0,rsl,,
.rsm,1,1,0,0,Geometric Description Language,,
.rss,2,1,1,0,rss,xml,
.rst,2,2,0,0,rest; restructuredtext,,
.rsx,1,0,1,0,,r,
.rtf,1,1,0,0,Rich Text Format,,
.ru,1,0,1,0,,ruby,
.ruby,1,0,1,0,,ruby,
.run,1,1,0,0,ampl,,
.rviz,1,0,1,0,,YAML,
.rvt,1,0,1,0,,tcl,
.rx,2,0,2,0,,arexx; rexx,
.rxs,1,1,0,0,Object REXX,,
.s,9,6,2,0,ASM; gas; r; R (programming language); s; Unix Assembly,Assembly; Motorola 68K Assembly,
.s7i,1,1,0,0,seed7,,
.sage,6,1,5,0,sage,bazel; py; Python; Python (programming language); starlark,
.sagews,1,0,1,0,,sage,
.sail,1,1,0,0,Sail,,
.sal,1,1,0,0,nyquist,,
.sarif,1,0,1,0,,JSON,
.sarl,1,1,0,0,sarl,,
.sas,1,1,0,0,sas,,
.sass,1,1,0,0,sass,,
.sat,1,1,0,0,sat,,
.sats,1,0,1,0,,ats,
.saty,1,1,0,0,satysfi,,
.satyh,1,1,0,0,satysfi,,
.savi,1,1,0,0,savi,,
.sb,1,1,0,0,scratch,,
.sb2,1,1,0,0,scratch,,
.sb3,1,1,0,0,scratch,,
.sbatch,1,0,1,0,,Shell,
.sbml,1,1,0,0,sbml,,
.sbt,1,0,1,0,,scala,
.sc,8,2,6,0,scala; supercollider,bazel; py; Python; Python (programming language); sage; starlark,
.scad,1,1,0,0,openscad,,
.scala,3,2,0,0,scala; Scala (programming language),,
.scaml,1,1,0,0,scaml,,
.scd,2,0,2,0,,markdown; supercollider,
.sce,1,0,1,0,,scilab,
.scenic,1,1,0,0,scenic,,
.sch,4,1,3,0,eagle,KiCad Schematic; scheme; xml,
.schdoc,1,0,1,0,,Altium Designer,
.sci,1,1,0,0,scilab,,
.scm,7,4,0,0,racket; scheme; scm; Tree-sitter Query,,
.sco,1,1,0,0,Csound Score,,
.sconscript,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.sconstruct,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.scpt,1,1,0,0,applescript,,
.scptd,1,1,0,0,applescript,,
.scr,1,0,1,0,,Pe,
.scrbl,2,1,1,0,scribble,racket,
.script,1,0,0,0,,,
.scss,2,1,0,0,scss,,
.scxml,1,0,1,0,,xml,
.sd7,1,1,0,0,seed7,,
.sdc,1,0,1,0,,tcl,
.sdl,1,0,0,0,,,
.sea,1,1,0,0,Sea,,
.sed,1,1,0,0,sed,,
.self,1,1,0,0,self,,
.seq,1,1,0,0,seq,,
.service,1,0,1,0,,desktop,
.sexp,1,0,1,0,,common-lisp,
.sfd,1,1,0,0,spline-font-database,,
.sfproj,1,0,1,0,,xml,
.sfv,1,1,0,0,Simple File Verification,,
.sgf,1,1,0,0,smartgameformat,,
.sgi,1,1,0,0,Iris,,
.sgm,1,0,0,0,,,
.sgml,1,1,0,0,sgml,,
.sh,6,6,0,0,bash; Gentoo Eclass; gentoo-ebuild; openrc-runscript; sh; Shell,,
.sh-session,1,1,0,0,ShellSession,,
.sha1,1,0,1,0,,Checksums,
.sha2,1,0,1,0,,Checksums,
.sha224,1,0,1,0,,Checksums,
.sha256,1,0,1,0,,Checksums,
.sha256sum,1,0,1,0,,Checksums,
.sha3,1,0,1,0,,Checksums,
.sha384,1,0,1,0,,Checksums,
.sha512,1,0,1,0,,Checksums,
.shader,2,1,1,0,shaderlab,glsl,
.shen,1,1,0,0,shen,,
.shex,1,1,0,0,shex,,
.shp,1,0,1,0,,shapefile,
.shproj,1,0,1,0,,xml,
.shx,1,0,1,0,,shapefile,
.sieve,1,1,0,0,sieve,,
.sig,2,0,2,0,,SML; standard-ml,
.sil,1,1,0,0,silk,,
.singularity,1,0,1,0,,Singularity,
.siv,1,1,0,0,sieve,,
.sj,1,0,1,0,,objective-j,
.sjs,1,0,1,0,,javascript,
.sl,1,1,0,0,slash,,
.sla,1,1,0,0,slash,,
.slang,1,1,0,0,slang,,
.sld,1,0,1,0,,scheme,
.slim,1,1,0,0,slim,,
.slint,1,1,0,0,Slint,,
.sln,1,1,0,0,Microsoft Visual Studio Solution,,
.slnx,1,0,1,0,,xml,
.sls,3,2,1,0,Salt; saltstack,scheme,
.slurm,1,0,1,0,,Shell,
.sma,2,1,1,0,fjolnir,pawn,
.smali,1,1,0,0,smali,,
.smi,1,1,0,0,Synchronized Multimedia Integration Language,,
.smil,1,1,0,0,Synchronized Multimedia Integration Language,,
.smithy,1,1,0,0,smithy,,
.smk,1,1,0,0,snakemake,,
.sml,2,2,0,0,SML; standard-ml,,
.smt,1,0,1,0,,smt,
.smt2,1,1,0,0,smt,,
.snakefile,1,0,1,0,,snakemake,
.snap,1,1,0,0,Jest Snapshot,,
.snbt,1,1,0,0,snbt,,
.snip,1,1,0,0,Vim Snippet,,
.snippet,1,0,1,0,,Vim Snippet,
.snippets,1,0,1,0,,Vim Snippet,
.snobol,1,1,0,0,snobol,,
.so,1,1,0,0,elf,,
.sol,2,2,0,0,gerber-image; solidity,,
.sources,1,0,0,0,,,
.soy,1,1,0,0,closure-templates,,
.sp,1,1,0,0,sourcepawn,,
.spad,1,1,0,0,FriCAS,,
.sparql,1,1,0,0,sparql,,
.spc,1,0,1,0,,PLSQL,
.spec,4,2,2,0,RPM Spec; spec,Python; ruby,
.spice,1,1,0,0,spice,,
.spin,1,1,0,0,Propeller Spin,,
.spmd,1,0,0,0,,,
.sprite,1,1,0,0,scratch,,
.sprite2,1,1,0,0,scratch,,
.sprite3,1,1,0,0,scratch,,
.sps,1,0,1,0,,scheme,
.spt,2,0,2,0,,cheetah; Go Template,
.sqf,1,1,0,0,SQF,,
.sql,5,4,1,0,PLSQL; sql; sqlpl; TSQL,plpgsql,
.sqlrpgle,1,0,1,0,,RPGLE,
.sra,1,0,1,0,,powerbuilder,
.src,1,0,0,0,,,
.srdf,1,0,1,0,,xml,
.srt,2,2,0,0,srecode-template; subrip-text,,
.sru,1,0,1,0,,powerbuilder,
.srv,1,0,1,0,,ROS Interface,
.srw,1,0,1,0,,powerbuilder,
.ss,4,2,2,0,racket; scheme,scm; Tree-sitter Query,
.ssjs,1,0,1,0,,javascript,
.ssml,1,0,0,0,,,
.sss,1,1,0,0,sugarss,,
.st,4,3,0,0,smalltalk; squeak; StringTemplate,,
.stan,1,1,0,0,stan,,
.stapl,1,0,0,0,,,
.star,2,1,1,0,star,starlark,
.sthlp,1,0,1,0,,stata,
.stl,1,1,0,0,stl,,
.stm,1,0,0,0,,,
.stmx,1,0,0,0,,,
.ston,1,1,0,0,ston,,
.story,1,0,1,0,,gherkin,
.storyboard,1,0,1,0,,xml,
.sttheme,1,0,1,0,,XML Property List,
.sty,1,0,1,0,,tex,
.styl,1,1,0,0,stylus,,
.sublime-menu,1,0,1,0,,JSON with Comments,
.surql,1,1,0,0,SurrealQL,,
.sv,1,1,0,0,systemverilog,,
.svelte,1,1,0,0,svelte,,
.svg,1,1,0,0,svg,,
.svgz,1,0,1,0,,svg,
.svh,1,0,1,0,,systemverilog,
.svr,1,1,0,0,systemverilog,,
.svx,2,2,0,0,mdsvex; Survex data,,
.sw,2,1,1,0,Sway,xml,
.swf,1,1,0,0,Shockwave flash,,
.swg,1,1,0,0,SWIG,,
.swift,2,2,0,0,swift; Swift (programming language),,
.swig,1,0,1,0,,SWIG,
.sxml,1,0,0,0,,,
.syntax,1,0,1,0,,YAML,
.sys,1,0,1,0,,Pe,
.t,7,4,2,0,raku; terra; tom; turing,perl; Raku (programming language),
.tab,2,1,1,0,TSV,sql,
.tac,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.tact,2,1,1,0,Tact,JSON,
.tag,2,1,1,0,Tag,java-server-pages,
.tal,2,2,0,0,tal; Uxntal,,
.talon,1,1,0,0,Talon,,
.tap,1,1,0,0,tap,,
.targets,1,0,1,0,,xml,
.tasm,2,0,2,0,,Motorola 68K Assembly; tasm,
.tbc,1,1,0,0,tcl,,
.tcc,1,0,1,0,,C++,
.tcl,1,1,0,0,tcl,,
.tcsh,1,1,0,0,tcsh,,
.te,1,1,0,0,SELinux Policy,,
.tea,2,2,0,0,tea; Tea (programming language),,
.teal,1,1,0,0,teal,,
.tei,2,2,0,0,TEI P5 - Single Text File; TEI P5 XML - Corpus File,,
.templ,1,1,0,0,templ,,
.tesc,1,0,1,0,,glsl,
.tese,1,0,1,0,,glsl,
.tex,2,2,0,0,latex; tex,,
.texi,1,0,1,0,,Texinfo,
.texinfo,1,1,0,0,Texinfo,,
.text,1,1,0,0,txt,,
.textgrid,1,1,0,0,TextGrid,,
.textile,1,1,0,0,textile,,
.textproto,1,1,0,0,Protocol Buffer Text Format,,
.tf,2,2,0,0,hcl; TF,,
.tfstate,1,0,1,0,,JSON,
.tftpl,1,1,0,0,Terraform Template,,
.tfvars,1,0,1,0,,hcl,
.tgz,1,0,1,0,,gzip,
.thor,1,0,1,0,,ruby,
.thrift,1,1,0,0,thrift,,
.thy,1,1,0,0,isabelle,,
.ti,1,1,0,0,Ti!,,
.tl,2,2,0,0,teal; type-language,,
.tla,1,1,0,0,tla,,
.tlv,1,1,0,0,TL-Verilog,,
.tm,1,0,1,0,,tcl,
.tmac,1,0,1,0,,roff,
.tmcommand,1,0,1,0,,XML Property List,
.tmdl,1,1,0,0,TMDL,,
.tml,1,0,1,0,,xml,
.tmlanguage,1,0,1,0,,XML Property List,
.tmpl,2,2,0,0,cheetah; Go Template,,
.tmsnippet,1,0,1,0,,XML Property List,
.tmtheme,1,0,1,0,,XML Property List,
.tmux,1,0,1,0,,Shell,
.toc,3,1,2,0,world-of-warcraft-addon-data,latex; tex,
.todotxt,1,1,0,0,todotxt,,
.tofu,1,0,1,0,,hcl,
.toit,1,1,0,0,toit,,
.toml,1,1,0,0,toml,,
.tool,1,0,1,0,,Shell,
.toon,1,0,0,0,,,
.topojson,1,0,1,0,,JSON,
.tpb,1,0,1,0,,PLSQL,
.tpl,3,1,1,0,smarty,Go Template,
.tpp,2,0,2,0,,C++; cpp,
.tps,1,0,1,0,,PLSQL,
.tpsi,1,0,0,0,,,
.tres,1,0,1,0,,Godot Resource,
.trg,1,0,1,0,,PLSQL,
.trig,1,0,0,0,,,
.trigger,2,0,2,0,,apex; Shell,
.trs,1,1,0,0,terse,,
.ts,6,3,1,0,Dirac; ts; typescript,xml,
.tscn,1,0,1,0,,Godot Resource,
.tsp,3,2,1,0,TSPLIB data; TypeSpec,Pe,
.tst,2,0,2,0,,gap; scilab,
.tsv,1,1,0,0,TSV,,
.tsx,3,2,1,0,TSX; typescript,xml,
.tt,1,0,0,0,,,
.ttbl,1,1,0,0,TTPlayer Playlist,,
.ttl,2,1,1,0,turtle,Web Ontology Language,
.ttml,3,0,0,0,,,
.ttpl,1,1,0,0,TTPlayer Playlist,,
.tu,1,0,1,0,,turing,
.twig,1,1,0,0,twig,,
.txi,1,0,1,0,,Texinfo,
.txl,1,1,0,0,txl,,
.txt,7,6,1,0,Adblock Filter List; ASCII art; asciidoc; bibtex; Text; Vim Help File,txt,
.txtpb,1,0,0,0,,,
.txx,1,0,1,0,,C++,
.typ,2,1,1,0,typst,xml,
.typoscript,1,1,0,0,typoscript,,
.u,1,1,0,0,urbiscript,,
.ua,1,1,0,0,uiua,,
.ubj,1,0,0,0,,,
.uc,1,1,0,0,unrealscript,,
.udeb,1,0,1,0,,deb,
.udf,1,0,1,0,,sql,
.udl,1,1,0,0,UDL,,
.udo,1,0,1,0,,csound,
.ui,1,0,1,0,,xml,
.ump,1,0,0,0,,,
.unity,1,0,1,0,,unity3d-asset,
.uno,1,1,0,0,uno,,
.upc,1,1,0,0,unified-parallel-c,,
.uplc,1,1,0,0,Untyped Plutus Core,,
.ur,1,1,0,0,urweb,,
.urdf,1,0,1,0,,xml,
.url,1,0,1,0,,ini,
.urp,1,1,0,0,Ur/Web,,
.urs,1,0,1,0,,urweb,
.usd,1,1,0,0,usd,,
.usda,1,0,1,0,,usd,
.ux,1,0,1,0,,xml,
.v,6,5,0,0,coq; Rocq Prover; v; V (programming language); verilog,,
.vagrantfile,2,0,2,0,,mirah; ruby,
.vala,2,2,0,0,vala; Vala (programming language),,
.vapi,2,1,1,0,vala,Vala (programming language),
.vark,4,0,4,0,,genie; gosu; Gosu (programming language); groovy-server-pages,
.vb,7,7,0,0,B4X; freebasic; quickbasic; vba; Visual Basic .NET; Visual Basic 6.0; visual-basic,,
.vba,2,0,2,0,,vba; vim-script,
.vbe,1,0,0,0,,,
.vbg,1,0,0,0,,,
.vbhtml,1,0,1,0,,Visual Basic .NET,
.vbp,1,0,0,0,,,
.vbproj,1,0,1,0,,xml,
.vbs,1,1,0,0,vbscript,,
.vcard,1,1,0,0,vCard,,
.vcf,2,1,1,0,vCard,TSV,
.vcl,1,1,0,0,vcl,,
.vcxproj,1,0,1,0,,xml,
.vdf,1,1,0,0,Valve Data Format,,
.veo,1,0,1,0,,verilog,
.vert,1,1,0,0,glsl,,
.vh,1,0,1,0,,systemverilog,
.vhd,1,0,1,0,,vhdl,
.vhdl,1,1,0,0,vhdl,,
.vhf,1,0,1,0,,vhdl,
.vhi,1,0,1,0,,vhdl,
.vho,1,0,1,0,,vhdl,
.vhost,2,0,2,0,,apacheconf; Nginx,
.vhs,1,0,1,0,,vhdl,
.vht,1,0,1,0,,vhdl,
.vhw,1,0,1,0,,vhdl,
.vim,2,2,0,0,vim; vim-script,,
.vimrc,2,0,2,0,,vim; vim-script,
.viw,1,0,1,0,,sql,
.vm,1,1,0,0,Velocity Template Language,,
.vmb,1,0,1,0,,vim-script,
.volt,1,1,0,0,volt,,
.vp,1,1,0,0,verifpal,,
.vrml,1,0,0,0,,,
.vrx,1,0,1,0,,glsl,
.vs,1,0,1,0,,glsl,
.vsh,2,0,1,0,,glsl,
.vshader,1,0,1,0,,glsl,
.vsixmanifest,1,0,1,0,,xml,
.vsm,1,0,0,0,,,
.vssettings,1,0,1,0,,xml,
.vstemplate,1,0,1,0,,xml,
.vtl,1,1,0,0,Velocity Template Language,,
.vtm,1,0,0,0,,,
.vtml,1,0,0,0,,,
.vto,1,1,0,0,Vento,,
.vtt,1,1,0,0,WebVTT,,
.vue,1,1,0,0,Vue,,
.vw,1,0,1,0,,PLSQL,
.vxml,1,0,1,0,,xml,
.vy,1,1,0,0,Vyper,,
.w,2,1,1,0,cweb,OpenEdge ABL,
.wadl,1,0,0,0,,,
.war,1,0,0,0,,,
.wasm,1,1,0,0,WebAssembly,,
.wast,2,1,1,0,WebAssembly,wast,
.wat,2,2,0,0,wast; WebAssembly,,
.watchr,1,0,1,0,,ruby,
.wav,1,1,0,0,Wave,,
.wdl,1,1,0,0,wdl,,
.web,1,1,0,0,WEB,,
.webapp,1,0,1,0,,JSON,
.webidl,1,1,0,0,WebIDL,,
.webm,1,1,0,0,webm,,
.webmanifest,1,0,1,0,,JSON,
.webp,1,1,0,0,webp,,
.weechatlog,2,2,0,0,irc; irc-log,,
.wgsl,1,1,0,0,wgsl,,
.whiley,1,1,0,0,whiley,,
.wiki,2,1,1,0,vimwiki,Wikitext,
.wikitext,1,0,1,0,,Wikitext,
.win,1,1,0,0,Geometric Description Language,,
.wisp,1,1,0,0,wisp,,
.wit,1,1,0,0,WebAssembly Interface Type,,
.wixproj,1,0,1,0,,xml,
.wl,1,1,0,0,Wolfram Language,,
.wla,1,0,0,0,,,
.wlk,1,1,0,0,Wollok,,
.wls,1,1,0,0,Wolfram Language,,
.wlt,1,0,1,0,,Wolfram Language,
.wlua,1,0,1,0,,lua,
.wml,1,1,0,0,wml,,
.wmls,1,1,0,0,wmlscript,,
.workbook,1,0,1,0,,markdown,
.workflow,2,0,2,0,,hcl; xml,
.workspace,6,0,6,0,,bazel; py; Python; Python (programming language); sage; starlark,
.wpl,1,1,0,0,Windows Media Player Playlist,,
.wren,1,1,0,0,wren,,
.wrl,1,0,0,0,,,
.wrz,1,0,0,0,,,
.ws,1,1,0,0,Witcher Script,,
.wsc,2,0,0,0,,,
.wsdl,1,0,1,0,,xml,
.wsf,3,0,1,0,,xml,
.wsgi,1,0,1,0,,Python,
.wxi,1,0,1,0,,xml,
.wxl,1,0,1,0,,xml,
.wxs,1,0,1,0,,xml,
.x,5,3,1,0,DirectX 3D File; logos; RPC,linker-script,
.x10,1,1,0,0,x10,,
.x3d,2,1,1,0,x3d,xml,
.x3db,1,0,0,0,,,
.x3dbz,1,1,0,0,x3d,,
.x3dv,1,1,0,0,x3d,,
.x3dvz,1,1,0,0,x3d,,
.x3dz,1,1,0,0,x3d,,
.x68,1,0,1,0,,Motorola 68K Assembly,
.x_t,1,1,0,0,parasolid,,
.xacro,1,0,1,0,,xml,
.xaml,2,1,1,0,xaml,xml,
.xbm,1,1,0,0,x-bitmap,,
.xbrl,1,0,1,0,,xbrl,
.xc,1,1,0,0,xc,,
.xdc,1,0,1,0,,tcl,
.xfd,1,1,0,0,Extensible Forms Description Language,,
.xfdl,1,1,0,0,Extensible Forms Description Language,,
.xgmml,1,1,0,0,xgmml,,
.xht,1,0,1,0,,html,
.xhtml,2,0,2,0,,Ecmarkup; html,
.xi,1,0,1,0,,logos,
.xib,1,0,1,0,,xml,
.xlf,1,0,1,0,,xml,
.xliff,1,0,1,0,,xml,
.xlsm,1,0,1,0,,ooxml,
.xlsx,1,0,1,0,,ooxml,
.xltm,1,0,1,0,,ooxml,
.xltx,1,0,1,0,,ooxml,
.xm,1,1,0,0,logos,,
.xmi,3,1,2,0,xmi,logos; xml,
.xml,9,7,1,0,musicxml; Powder; rss; sbml; xbel; xbrl; xml,maven-pom,
.xmp,1,0,1,0,,xml,
.xojo_code,1,1,0,0,xojo,,
.xojo_menu,1,0,1,0,,xojo,
.xojo_report,1,0,1,0,,xojo,
.xojo_script,1,0,1,0,,xojo,
.xojo_toolbar,1,0,1,0,,xojo,
.xojo_window,1,0,1,0,,xojo,
.xpl,2,1,1,0,xproc,xslt,
.xpm,1,1,0,0,x-pixmap,,
.xpp,1,1,0,0,X++,,
.xproc,1,0,1,0,,xproc,
.xproj,1,0,1,0,,xml,
.xpy,1,0,1,0,,Python,
.xq,2,0,2,0,,xql; xquery,
.xql,2,0,2,0,,xql; xquery,
.xqm,2,0,2,0,,xql; xquery,
.xquery,2,1,1,0,xquery,xql,
.xqy,2,2,0,0,xql; xquery,,
.xrl,1,0,1,0,,erlang,
.xs,2,1,0,0,xs,,
.xsd,2,1,1,0,xsd,xml,
.xsh,1,1,0,0,Xonsh,,
.xsjs,1,0,1,0,,javascript,
.xsjslib,1,0,1,0,,javascript,
.xsl,3,2,1,0,xproc; xslt,xml,
.xslt,5,1,4,0,xslt,Ecmarkup; html; xml; xproc,
.xsp-config,1,1,0,0,xpages,,
.xspec,1,0,1,0,,xml,
.xspf,1,1,0,0,XML Shareable Playlist Format,,
.xtend,1,1,0,0,xtend,,
.xtm,1,1,0,0,extempore,,
.xul,1,0,1,0,,xml,
.xzap,1,0,1,0,,ZAP,
.y,1,1,0,0,yacc,,
.yacc,1,0,1,0,,yacc,
.yaml,4,4,0,0,MiniYAML; OASv2-yaml; OASv3-yaml; YAML,,
.yang,1,1,0,0,yang,,
.yap,1,0,1,0,,prolog,
.yar,1,1,0,0,yara,,
.yara,1,0,1,0,,yara,
.yasnippet,1,1,0,0,yasnippet,,
.ydl,1,0,0,0,,,
.yml,4,1,3,0,YAML,MiniYAML; OASv2-yaml; OASv3-yaml,
.ypr,1,1,0,0,Snap!,,
.yrl,1,0,1,0,,erlang,
.ysp,1,1,0,0,Snap!,,
.yul,1,1,0,0,yul,,
.yy,2,0,2,0,,JSON; yacc,
.yyp,1,0,1,0,,JSON,
.z,2,1,0,0,z,,
.z3,1,0,1,0,,smt,
.z5,1,1,0,0,inform,,
.z8,1,1,0,0,inform,,
.zap,1,1,0,0,ZAP,,
.zcml,1,0,1,0,,xml,
.zeek,2,2,0,0,bro; zeek,,
.zeno,1,1,0,0,zeno,,
.zep,1,1,0,0,zephir,,
.zig,2,2,0,0,zig; Zig (programming language),,
.zigr,1,0,0,0,,,
.zil,1,1,0,0,zil,,
.zimpl,1,1,0,0,zimpl,,
.zir,1,0,0,0,,,
.zjs,2,0,0,0,,,
.zml,1,1,0,0,Zero Markup Language,,
.zmodel,1,1,0,0,Zmodel,,
.zmpl,1,0,1,0,,zimpl,
.zon,1,1,0,0,zig,,
